"root_4dpicontrol"	"root_4dpimycorrhized"	"root_28dpicontrol"	"root_28dpimycorrhized"	"WT_root_tip_3w_uninocul"	"WT_root_3w_uninocul"	"WT_root_3w_5mM_nitrate"	"WT_root_6w_5mM_nitrate"	"har1_root_3w_uninocul"	"har1_root_3w_inocul3"	"WT_root_3w_nodC_inocul1"	"WT_root_3w_inocul1"	"WT_root_3w_inocul3"	"WT_nodule_3w_inocul14"	"WT_nodule_3w_inocul21"	"WT_root_nodule_3w_inocul7"	"WT_root_nodule_3w_inocul21"	"WT_rootSZ_3w_uninocul"	"WT_rootSZ_3w_Nod_inocul1"	"WT_rootSZ_3w_inocul1"	"nfr5_rootSZ_3w_uninocul"	"nfr5_rootSZ_3w_inocul1"	"nfr1_rootSZ_3w_uninocul"	"nfr1_rootSZ_3w_inocul1"	"nup133_rootSZ_3w_uninocul"	"nup133_rootSZ_3w_inocul1"	"cyclops_root_3w_uninocul_mean"	"cyclops_root_nodule_3w_inocul21_mean"	"nin_rootSZ_3w_uninocul"	"nin_rootSZ_3w_inocul1"	"sen1_root_3w_uninocul"	"sen1_nodule_3w_inocul21"	"sst1_root_3w_uninocul"	"sst1_nodule_3w_inocul21"	"cyclops_root_3w_inocul_mean"	"Root"	"Root0h"	"Nod21"
"CAD31320.1_at"	3.44042129993851	3.38577235865934	3.54396928231813	3.52065604969919	3.27632552961217	3.17812882753559	3.2334688271711	3.23639742121769	3.28746488149957	3.26723542016568	3.29756500154719	3.20488237159985	3.34467641167052	6.09123748126678	6.31534715155389	3.94606688030873	3.15755771264287	3.221548250755	3.11039043186285	3.14109156498048	3.35414071411887	3.325438817261	3.09002830291792	3.23287734450401	3.20746294501146	3.37010567178448	3.16634386891922	3.28333684300249	3.23701039506368	3.36874994466289	3.18224503496641	3.9097123378909	3.23017969471957	4.47687534438089	2.8115569996877	4.60933151563332	4.70610090456653	4.4586693381089
"chr1.CM0109.14_at"	4.81378470015359	5.24620268228058	5.24969418843566	4.88046586278882	8.16998189697851	7.61070426451434	7.78980233169616	7.68688747667125	7.44780372622503	7.66199285522197	7.72512251086612	7.89516781455802	7.93229395388063	7.10985495296798	7.11275115281496	7.32609054351024	7.69074316354187	7.20611761384202	7.51782515212471	7.56192251740113	7.50150744816148	7.49245384728502	7.294261803489	7.53806382610972	7.29881715677956	7.23944466742692	7.25523810455195	7.78924336366079	7.38239190928493	7.45485882860872	7.73487375539499	7.40737838824013	7.75400973807262	7.2826305868863	7.88703958918407	8.26422167663985	8.06801754596194	8.07287602219428
"chr1.CM0117.28_at"	2.80427511392584	2.71570747586773	2.82747337248184	2.78700924490101	4.62659894140139	4.29451968036064	4.40949709279345	4.11141961686256	4.18335463493249	4.29392056782079	4.32867464367655	4.40951047012604	4.83712282312362	3.91209300297826	3.98196875611481	4.18086470746606	4.42448129566859	3.95243723682432	3.92140683921849	4.19114151501938	4.36617160534978	4.20581885062606	4.16107598968208	4.40844945690499	4.07932059890217	4.16642488484511	4.13340821175949	4.5664023302794	4.32784100361567	4.26371877382084	4.49107608782739	4.04627413897702	4.37481947538285	3.95717226382264	4.72041667399248	5.16372827189674	5.03879505989011	4.96408861143913
"chr1.CM0121.10_s_at"	4.41501039030359	4.61078439677256	4.33605468311015	4.61454609446657	3.66750514236856	4.53422827349697	3.81156379207364	4.42091195505083	4.90739105606095	3.83194463045187	4.285957541968	5.14455994271883	4.64674389789802	6.94370140575561	6.96479701934933	5.81737898123874	4.29217714313548	5.35940305852588	4.78411103462257	5.35239353514671	5.34923859172642	5.25652615248623	5.77498623366253	5.49881441057001	5.3842289723443	4.69693773444119	4.17132103533792	4.10206964677293	5.53828263607205	5.3293411146497	4.43362713186982	7.27441718676641	4.45323621411401	7.20854112081089	4.21796239415076	3.76774839627109	4.1852039428071	6.95008653399558
"chr1.CM0122.11_at"	7.5982339021078	7.44119134913417	7.69444289244959	7.99507066390795	8.62365370185791	8.28819252061763	8.10716267768514	7.43636973902171	7.89492936092867	7.19740541352862	7.93516869329865	8.08984130567862	8.10341260535435	3.19479212685172	2.91950975963949	7.1274850098365	7.6457132880758	7.65907230615586	7.85288610828946	7.96302503813774	6.79740678847984	6.75765422168708	7.03777426030587	6.6102841160106	7.31309371240074	7.70379743826012	7.8216872311214	7.80778247358652	6.97103050249518	7.63085924083189	7.45987446606234	3.60304647345164	7.67573160016273	3.31274132526194	8.00539042373392	7.63826567939156	8.15002914294043	3.87331336165666
"chr1.CM0122.82_at"	6.77391755372828	6.99169193385469	7.07513238839027	6.99637952127165	7.41465119153728	7.10701588983301	7.13850979329768	6.76313982736321	7.08483813772789	6.87255909653012	6.96035721672233	7.13070681186199	7.22617264580314	7.2283594235761	7.11476944836646	6.98214821053107	6.96052797851006	6.75271420286973	6.72277900153345	6.79293908788676	6.81628123180332	6.91964432337455	6.60327557969435	6.88832880093296	6.92471071963155	7.06663760404233	6.95029739324781	7.22912838095136	6.80550990622446	6.73712945962575	7.18606103080536	7.19861729006554	7.23004890100143	7.36313372978233	6.97735596571197	8.5887749754419	8.66622680134402	8.41833151249824
"chr1.CM0147.88_at"	3.0701809019635	3.02310422034984	3.07008807213906	3.08941840803761	2.80643443902339	2.75416377051266	2.8368947944882	2.79114670273537	2.99450652262817	3.00471679162546	2.74954396993157	2.82499140103283	2.64567822020937	8.0519207524184	8.05961445253662	6.74381651847177	3.18391163983211	2.80488648853894	2.72463196069389	2.7368708669104	2.97066058912497	2.84129238524332	2.70755674603995	2.89890193889954	2.86289778089541	2.81861912939964	3.04797361839965	2.80225674181787	2.73834659533356	2.82429130785625	2.8228183261091	7.82631543376699	2.82078942699786	7.93828142781502	2.79665308874441	2.74599445890724	2.65112705370259	8.00723052852571
"chr1.CM0163.1_at"	2.58277416288688	2.54297899771478	2.57416827085608	2.70077714980228	2.50604009050545	2.82681053682305	2.71975476796083	2.61260334529148	3.41289206483528	3.29905390799345	2.84671589063783	3.60841478242611	4.20327968136549	8.16011245086748	8.28581079382324	7.13935100977799	3.54254357569407	2.67642192564403	2.75291521160769	4.23353242680265	3.25927276906737	2.93584956395261	3.2219710297755	2.68287597255349	2.597386760872	2.7125467431541	2.84092471136008	3.13082245064251	2.56733880814146	2.6877862674206	3.10572952292834	7.75141079981117	3.38659461164488	8.32476796401317	3.15765127312979	2.43736945033034	3.15968617298976	8.50799299913876
"chr1.CM0163.26_s_at"	3.11176711534289	2.95701223504224	3.00905808916191	3.40116071432325	2.81981814527664	3.43550540627208	2.93514858839964	3.00577170934809	4.3336934285832	3.82988193105564	3.49272161593158	4.27572539889983	4.96427018709732	9.04274977978222	9.07857313659649	8.14951218811048	4.33398987412465	3.37886996977806	3.06782965439437	5.19025876989654	3.70492257232321	3.36532146842366	4.06572386981789	3.22675668911907	2.93398452126258	3.16472371110577	3.39603742528853	3.91992966524912	3.35794535366735	2.87315777716148	4.09346751105848	8.79868111970469	4.00165893526387	9.20058191271448	3.21081945932988	2.7940138071493	4.09234923955584	9.04762142247574
"chr1.CM0171.71_s_at"	5.05054166956529	5.3300582523321	5.23126903179491	5.00562945241777	4.34074099101831	5.29816235453429	4.87347064250597	4.69813215635997	5.02942433599284	4.5575291613049	5.07109048979619	4.57908079836149	5.16867554259152	3.22533889416792	3.17086135976644	4.81616827891863	5.09717378151346	4.87984300384623	5.31632917559972	4.63467073410571	4.62071867923481	4.3571266880913	4.40724837554387	4.63075995698709	4.27413931823096	4.38455343961175	4.96692719433362	5.06149316036541	5.20413854651483	4.84505285330658	5.14863336292012	3.27484397506979	5.12218859481649	3.08246486168562	5.00810543002037	5.1997448711742	5.16561991181492	4.31477911417538
