Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
CAD31320.1_at	S	9	8	1	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Root,Root0h,Nod21	cyclops_root_3w_inocul_mean	NA
chr1.CM0109.14_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr1.CM0117.28_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr1.CM0121.10_s_at	S	5	5	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr1.CM0122.11_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr1.CM0122.82_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr1.CM0147.88_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr1.CM0163.1_at	S	8	8	0	WT_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_rootSZ_3w_inocul1,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr1.CM0163.26_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr1.CM0171.71_s_at	S	4	0	4	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21	NA
chr1.CM0233.55_at	S	2	2	0	sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21	-	NA
chr1.CM0284.25.2_at	S	3	0	3	-	Root,Root0h,Nod21	NA
chr1.CM0295.2.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
chr1.CM0315.47_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
